Unnamed: 0,Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep1,Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep2,Mmus_C57-6J_TMS_MHU1_FLT_1G_Rep3,Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep1,Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep2,Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep3,Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep1,Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep2,Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep3,Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep1,Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep2,Mmus_C57-6J_TMS_MHU2_FLT_1G_Rep3,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep1,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep2,Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep3,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep1,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep2,Mmus_C57-6J_TMS_MHU2_GC_1G_Rep3
Myo18a,2100.22035823875,2409.82882060416,1384.43722549262,1293.57954553822,1922.12100224703,2033.10651312151,2363.51348541834,1976.94419859914,1897.93500958327,1656.38778347166,1920.30207522653,1705.75765384915,1935.84219113828,1700.77964555868,1629.60926402669,2594.5989920522,2016.73575522148,1922.15788502425
Cd52,438.494513693988,432.4107063988,509.521652701371,626.773319937825,870.550622982492,845.342546509038,481.696163523583,457.470212642241,505.064636408392,803.111286680767,746.58190632311,802.481157722443,695.392685788007,775.172221237149,710.767872228499,538.188450706653,442.138306254587,556.502114233978
Aire,147.727857957823,196.109481480551,165.411393236689,203.134019751023,221.430449703369,220.30579390228,103.72618966918,79.1256405745117,63.3840220500594,153.660780266894,123.994215256486,120.568759791564,98.4332014486183,188.913002896102,90.0959652246646,118.920186449581,97.7845156526162,118.207402516139
Icosl,100.674644395518,100.593245613763,94.0186970745127,133.860706646139,141.488539167733,110.999784669756,62.8741926183464,104.057199588076,76.3457477977219,128.961285085945,105.596274477014,115.203126555012,96.3325276000963,155.59740822217,74.406896829713,73.5911603735637,75.4173997433873,119.354593520638
Sult5a1,5.20518752791401,28.708960950487,19.790435261146,22.4305379641393,24.0817743631196,19.8212273808732,10.1096097996866,3.37528206194744,9.51409560359916,23.1646381323952,23.1402333117424,19.0220480017432,14.941481770475,32.2523915181863,7.56695115684932,9.91664231488586,7.82678177378713,6.01634842536846
Tubgcp3,531.743378249818,602.835605193527,595.16616167479,503.061839117539,443.589759285251,443.775237474034,574.671689752286,668.608151237957,653.620074419631,445.547123997165,477.593871409462,528.249359894471,546.544325826593,544.971498342296,565.635790965383,498.243305162148,628.413480517696,586.259209373442
Tcf7,8408.36171618909,5541.01368335835,8678.94338019561,6499.50221693034,8578.20375914835,8129.05754163014,10121.2629924663,9302.67466328333,10542.5804571717,7945.6754315439,9201.10823991068,7706.08051390365,10620.1397058112,9167.48929759884,9868.68899118402,12719.7034757269,10196.0550862852,9235.56831476276
Kcnn3,52.5311500431568,56.9182208043083,44.9545607689258,77.3686272765852,98.8350790958151,84.1250282388609,46.808972272945,40.2693384619352,42.5636470694171,82.0658131713758,67.3622027151447,104.524667490509,51.2850823135903,71.341494882726,64.0316530616033,49.1719454493293,40.3796720976544,64.6677511498361
Dnajc5,1129.33041811228,1043.00990046466,1202.0803811791,1045.76749044301,1168.47475801108,1014.13865688253,1218.82626699974,1262.95228724649,1229.53540106368,1117.79794566604,1330.50190939278,1089.07521914058,1197.41802314124,1195.53130517682,1300.53268386178,1219.84934021958,1231.52481931045,1092.40914464187
Bcl11a,138.771608432278,101.729834007692,82.874478850369,212.940148698686,167.403464134249,181.058698143418,83.2302188621742,106.460198035146,120.912810979463,223.0017087662,164.825745947008,184.704958099552,144.929582136298,145.26953852831,122.281725539827,106.640250083689,89.0335972977428,94.4157525897781
Pxmp4,154.58680049418,95.5674518538696,165.577672638094,126.628517585294,170.725263441183,185.29975430894,314.218915922755,255.80130814848,219.627277364605,130.426873971003,141.763249911352,172.607912863251,217.893469323429,186.505258265251,198.957067753463,213.207154818326,222.915126810452,179.842219687873
Hip1r,135.993960162116,371.883769742153,190.418949013222,298.054069201312,213.863047558421,219.618879042574,136.605093480664,188.105382864185,127.959242860209,179.578108984638,119.995653549759,169.512339096767,156.50037335109,140.576672797051,82.7915063536477,173.788207015242,132.344614349724,94.4355524346966
Mmp14,164.808570008468,173.353580516999,170.372435607839,304.425621341623,280.779308756319,209.722088950447,137.923284866366,124.158485015635,152.178587668293,258.192153925311,158.063638779706,219.362373202467,139.660773131244,206.467275046053,149.912427268729,149.351823793887,133.804588785672,192.304284363359
Wfdc18,35.2729211749489,55.839354813243,28.9635008309282,50.1588713124544,69.9367726832948,98.2977537034348,19.3307486345068,22.811172470533,24.7989643997823,57.1178641668101,50.9716351640271,47.5168417184328,35.2703668894166,61.904099732386,48.4207443271058,39.7047177809507,24.5756378587055,35.9966311738542
Ilf2,544.710618040278,504.305865362911,486.910309557138,436.708345125415,442.122275060178,416.281134290977,593.319985869826,557.33295167911,526.597652722844,313.698141779321,407.283379371016,342.477675277586,442.813818357224,379.682581201362,381.791076051552,542.908804056118,525.658358179519,496.421169055695
Chtop,1145.09704445751,1132.31231128221,1010.34881954961,957.965801550598,970.896711179067,870.443205783811,1324.08293211731,1096.86711751003,1158.39338983722,933.299017244972,1027.04267937791,848.529715977956,1054.70863814982,1019.4254066125,1078.18894922109,1138.85482153004,1110.78070073111,1058.24391410894
Snapin,145.82017393863,63.3238738360864,121.936202213397,141.985841326409,144.099392599698,148.376184723378,111.494034098756,111.454885145929,108.319472061029,153.879888430648,140.416250552679,165.602371498879,133.106288094651,147.621659173898,154.368970921943,78.7587471764808,102.403850335801,115.607894159561
Icam2,148.725013464344,101.032031325304,228.577840705819,132.494211012976,228.375716795453,179.316955828092,261.107081521858,234.806509730669,212.834214191279,162.639844598331,176.114477184829,193.714121817834,194.080655813507,171.400882652771,162.02332464789,244.343469348921,220.415351655533,187.302602177388
N4bp3,57.4699261304657,139.625451031556,90.2018372053962,75.1135345916581,52.459813219485,56.1495692949342,132.707161650657,65.6327223421928,106.876893154462,39.7249236074577,61.1360114011161,53.14568874396,65.9846617328721,66.2163983926173,63.4694511689584,96.7338961998025,79.9880921567692,101.30385367804
Mfsd10,82.4284155254002,94.8857375424416,90.6397949440731,69.6737461295489,84.8417205358131,87.1989824665051,104.877574772736,106.611308078663,80.2589922297567,133.693059532706,90.8977639323109,60.9631508966808,58.4279020762587,71.0527156392557,76.2474974287626,103.619287556753,87.2638752884299,91.5246476735215
Luzp1,181.943235366893,197.591533180774,256.445402412639,221.830389935823,257.220660226797,327.755678753978,148.348094126824,157.746286826437,169.744747434478,318.626334493185,247.771700897591,277.872463385596,218.606588746357,218.044340538008,230.734372753153,274.996196792193,185.572162377637,208.786663612142
Cfp,193.937818490735,228.569791734461,179.661001156457,266.407567159696,210.120045065368,221.818888695089,162.870421892895,123.391986713149,160.858512239543,312.619292259126,223.476405203215,364.029404287887,200.432162788323,204.147285384986,192.896071406429,180.666594120301,170.238399117118,159.861407304636
Mcm3ap,780.255964508832,758.376848824534,1030.72051163978,733.017061027916,836.275366295369,848.731922571618,935.370377246637,752.910877004037,874.536387667635,651.68668530643,614.438804010799,711.685684255601,759.115090913543,588.645677991666,674.055412509935,1061.07299411514,976.681281791931,1143.80372291864
Gmcl1,233.442676975869,246.71159451119,255.950172704292,268.828102378054,203.496222339598,199.568551440744,261.180698778268,278.881930516108,275.952059258254,194.205595371612,206.170168582689,182.654363604118,250.091513160396,229.146717887159,250.903605157464,262.735704104712,319.539250230548,297.178544616549
Ocrl,138.408869954136,120.396492450481,153.548996535296,136.251098483153,153.952869649624,155.077045806274,106.200914896744,122.608808865454,88.560400931135,158.342384305927,148.004798716414,155.071738226818,139.089545082672,133.772786332362,139.020861669125,71.7654849792849,102.537963312868,103.226126592538
