Unnamed: 0,SLS-2_TMS_FLT_F13_Cut2,SLS-2_TMS_FLT_F14_Cut2,SLS-2_TMS_FLT_F15_Cut2,SLS-2_TMS_FLT_F16_Cut2,SLS-2_TMS_FLT_F17_Cut2,SLS-2_TMS_FLT_F18_Cut2,SLS-2_TMS_GC_G10_Cut2,SLS-2_TMS_GC_G11_Cut2,SLS-2_TMS_GC_G12_Cut2,SLS-2_TMS_GC_G22_Cut2,SLS-2_TMS_GC_G23_Cut2,SLS-2_TMS_GC_G24_Cut2
Cd68,503.671737070903,485.112677554244,550.551572857303,698.243750997966,489.236504080953,540.41044218822,353.656616938834,338.810342171196,452.162123599524,343.532994062137,584.29037850437,402.955600646339
Kdm6b,192.571632481578,205.278992017303,147.147563025317,203.031544447101,166.397502258348,146.967651140347,235.397704877611,447.555691738904,191.655513323906,235.664188638632,242.969234255717,380.219471594956
Rab43,16.4626398137466,35.7826111117673,28.6338095561486,40.1744865061068,45.9855436514725,21.0110622260938,16.9804624772211,3.09189016670826,19.027699788319,12.0982807037371,19.5926061147813,21.940467855394
Rarres1,516.673989070066,454.159304058569,651.021855916537,671.875464348837,500.233911205759,615.268231827935,252.759520992045,371.486476184729,338.364110517847,263.932066555199,454.812331160294,313.08838147009
Mt1-ps3,170.014976093008,149.663866570505,152.137970455737,100.606999803611,150.451987392438,149.578867577347,90.2888960625936,72.3300712721454,122.681162158754,93.1495030231938,112.873907376816,82.2741912012683
Gimap7,1622.03391299211,1330.52098221893,1419.81990930318,1412.23787980293,1390.51637910451,1849.51834054027,1950.65440878131,2506.26035868762,1814.94532299754,2117.40853135102,1627.34434831517,1860.03101640296
Cd86,170.158455489693,144.576010320478,144.311937568512,75.1997120672999,151.547866541328,126.693881432767,55.5117955565849,13.2462380797398,89.1158324535711,36.1933890391715,105.553862344866,124.915247478306
Pnpla8,529.591516242873,544.722557781107,598.743222345206,665.559298214761,832.2891207053,232.431138748093,393.86455854561,452.453739100294,354.913100563303,327.070831212272,325.872785201375,406.046291822305
Ctla2a,290.228706271038,326.941784376874,327.111896664821,286.98538815605,171.551861127534,346.012344312334,344.33050991445,145.860337415289,220.435980802392,278.593327947255,237.880093171429,296.397544703415
Ptk7,77.7711505437338,119.70215912182,77.6342146882674,82.0636109641457,62.1742381818086,128.909942247239,54.25409552925,73.0069153440453,67.6503180783988,34.2891921841301,65.8752909279037,46.560637972624
Slc25a5,5171.0166817395,4640.97856121277,4782.82386448343,3716.40616698645,4460.73491557024,3453.66399109894,6214.15204353371,4855.62923561573,5874.05589360914,6927.43726144667,5277.22459326689,5642.96931075537
