Unnamed: 0,RR9_TMS_FLT_F1,RR9_TMS_FLT_F6,RR9_TMS_FLT_F7,RR9_TMS_FLT_F3,RR9_TMS_FLT_F5,RR9_TMS_FLT_F2,RR9_TMS_FLT_F8,RR9_TMS_FLT_F4,RR9_TMS_FLT_F10,RR9_TMS_FLT_F9,RR9_TMS_GC_G4,RR9_TMS_GC_G10,RR9_TMS_GC_G1,RR9_TMS_GC_G7,RR9_TMS_GC_G6,RR9_TMS_GC_G9,RR9_TMS_GC_G8,RR9_TMS_GC_G3,RR9_TMS_GC_G2,RR9_TMS_GC_G5
Aurkb,1.58535828960251,14.5814982944703,0.0,6.73539380417463,25.6994150118501,0.0,3.75736394460939,1.82451858259009,0.0,41.3323285635609,89.8427964309187,35.9121151613446,153.21503527885,38.4969024666373,92.5527327542699,12.1551035339113,101.973584977265,134.999356130165,91.4248089498112,109.790763032217
Top2a,182.664102729866,519.568251921823,390.874349466832,311.822113179179,109.601084170385,69.7165143509329,208.512130158009,321.015749691789,89.9289177002983,197.852279557707,1331.02824922701,1487.02090532697,3245.15254440062,1477.49571325938,2032.33406500225,1095.21090270695,3255.85465180783,1983.63632923258,1742.05668292528,1846.20674171105
Lsm12,266.432059172492,210.515465229802,182.78395349214,265.89585522857,228.578876094961,262.099407308451,384.359701217226,257.815152269052,333.287997951591,293.649111931351,405.345326635692,235.764985297004,307.002272198611,507.666315747196,253.284940142309,265.36884983518,385.371814521159,458.908333422852,561.071173569542,441.411512452313
Klhl28,161.144614675281,204.062799409004,212.909440965046,148.849127558854,255.003616883979,285.39600550322,377.539330900887,172.680901792804,165.810837714571,245.035426645787,111.244172475389,88.3553374969273,179.479090110519,202.975242925226,214.410464712674,107.94178757993,234.699627866234,175.24135046755,115.806851316695,153.017310583697
Fkbp3,287.612879648857,401.770247597998,429.849353450932,510.713390399907,478.257677867612,392.899806841468,246.470297046788,545.092636593764,424.563567135883,507.556593540717,649.321664114655,497.485109720451,555.842643915673,767.43474627964,379.266737807129,399.603304625698,567.236833108387,525.512269057216,642.069610972876,672.165076382787
Pole2,4.34945553566347,0.0,9.28565310368894,22.5550362301845,49.3576744281083,8.738710956186,0.0,5.00656879368407,1.3120335838927,17.3310614062125,6.89541117623149,40.4730080344805,30.6133158472718,29.157930268357,31.711993376366,11.1947178096808,24.2947515128578,17.9266604336043,25.004293677138,36.9464472801065
Klhdc2,137.635719840218,204.01338285462,116.178705410503,182.426806623246,165.051276292767,92.1510040657218,186.895568800818,134.02136320757,92.1485242649494,143.475429593534,79.8524631702488,76.3455935724495,44.1568384059916,108.526224240838,42.4000218012916,73.1850778389319,60.2130805242338,46.75771349966,127.580532352773,87.4018330856205
Galc,20.3399699510893,127.328935144911,73.9893178168377,29.9111087196316,84.3922614357512,70.1091340968936,21.9937983727956,113.619690941416,46.9357318517703,42.119420637056,34.3088047696429,37.1762983695416,34.8333663836817,17.3495579680478,83.4126099503448,14.504968802754,24.2646148630309,14.843773472559,24.2375903000558,20.8686020845144
Psma6,708.044893941489,1304.92104444902,899.243458185472,901.512401435123,375.592362164295,508.204521796138,448.179639193725,933.50916171534,790.337907162454,1090.12008691644,1471.20076188001,1242.61033301474,1009.80904316606,1556.42263482176,866.461588921014,1022.26463428476,1075.28742480375,1263.41089853148,1219.0723015859,1642.60897505675
Slirp,402.193299083019,521.206125116808,469.574820212132,649.133427765093,600.031181866775,252.440534274196,420.68867387844,378.64429636212,311.378158426539,385.289754255357,713.973780809388,430.067293956965,551.252209268584,843.23558534863,404.981740642872,572.832761379216,404.942578094053,505.815042740968,662.14770127715,645.624942280281
